,% who are economically inactive - aged 16-64,Jan 2004-Dec 2004,,,,Jan 2005-Dec 2005,,,,Jan 2006-Dec 2006,,,,Jan 2007-Dec 2007,,,,Jan 2008-Dec 2008,,,,Jan 2009-Dec 2009,,,,Jan 2010-Dec 2010,,,,Jan 2011-Dec 2011,,,,Jan 2012-Dec 2012,,,,Jan 2013-Dec 2013,,,,Jan 2014-Dec 2014,,,,Jan 2015-Dec 2015,,,,Jan 2016-Dec 2016,,,,Jan 2017-Dec 2017,,,,Jan 2018-Dec 2018,,,,Jan 2019-Dec 2019,,,
Code,Area,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,!,!,!,!,#,"3,600",35.6,*,!,!,!,!,!,"1,400",!,!,!,"1,200",!,!,!,!,!,-,!,#,!,!,!,!,!,!,!,!,!,!,!,#,!,!,!,#,!,!,"2,000","3,600",55.5,*,!,"2,700",!,!,"2,600","5,900",44.2,*,!,"3,200",!,!,!,!,!,!
E09000020,Kensington and Chelsea,"26,600","60,700",43.9,5.3,"25,400","61,700",41.1,5.3,"27,500","59,500",46.3,6.0,"22,900","58,700",39.1,5.7,"21,400","59,000",36.2,5.7,"24,300","59,900",40.6,5.8,"25,100","58,400",42.9,5.6,"26,600","57,500",46.3,5.3,"24,300","56,300",43.1,5.0,"22,200","55,200",40.2,5.1,"18,300","55,100",33.2,4.8,"20,200","54,800",36.9,5.2,"18,200","53,500",33.9,5.7,"16,100","51,400",31.2,5.9,"19,800","50,200",39.4,6.7,16800,50400,33.4,6.5
E09000021,Kingston upon Thames,"15,400","51,800",29.7,5.4,"13,300","53,000",25.2,5.0,"14,900","53,300",28.0,5.0,"18,000","53,300",33.7,5.8,"16,000","53,600",29.9,5.4,"14,100","53,800",26.3,5.3,"14,800","54,700",27.2,5.3,"16,900","55,600",30.3,5.3,"15,800","55,600",28.3,5.3,"12,600","56,000",22.6,5.0,"15,400","56,000",27.4,5.3,"16,200","56,400",28.8,5.6,"17,200","59,000",29.1,5.9,"15,400","57,600",26.7,5.5,"19,100","60,100",31.8,6.0,14600,59300,24.6,5.9
E09000022,Lambeth,"31,900","95,600",33.4,5.6,"31,700","97,500",32.5,5.3,"42,000","99,100",42.4,5.7,"32,000","101,700",31.4,4.8,"28,600","102,700",27.9,4.8,"24,900","107,200",23.2,4.6,"29,300","109,600",26.7,5.4,"26,000","112,100",23.2,4.8,"33,600","113,400",29.6,5.7,"21,300","117,000",18.2,4.9,"23,800","118,600",20.1,5.0,"25,400","117,200",21.7,5.5,"15,900","120,300",13.2,4.7,"20,300","122,000",16.6,5.2,"25,000","121,200",20.6,5.4,24400,120900,20.2,5.1
E09000023,Lewisham,"26,700","87,500",30.4,4.9,"28,500","88,700",32.1,5.0,"26,600","90,300",29.5,5.1,"27,100","91,700",29.6,5.1,"26,800","95,000",28.3,4.7,"26,800","96,400",27.9,5.2,"35,400","97,000",36.5,6.0,"32,400","100,200",32.3,5.3,"31,800","100,200",31.7,5.3,"27,200","100,200",27.1,5.0,"26,600","102,700",25.9,4.7,"24,200","105,100",23.0,4.9,"27,700","104,100",26.6,5.4,"17,500","103,500",16.9,4.5,"28,000","106,200",26.4,5.4,21000,108600,19.4,4.8
E09000024,Merton,"17,600","63,700",27.7,5.2,"20,500","65,600",31.2,5.5,"18,300","66,100",27.6,4.9,"17,400","66,800",26.0,4.9,"17,800","66,300",26.8,5.9,"19,900","67,600",29.4,5.3,"21,200","68,000",31.2,4.9,"20,300","68,000",29.8,4.9,"19,900","68,300",29.2,4.9,"19,800","70,500",28.1,5.5,"18,600","70,000",26.5,5.4,"16,900","69,900",24.1,5.2,"19,300","69,100",27.9,5.7,"14,200","67,900",20.9,5.6,"13,900","70,100",19.8,5.3,15000,70300,21.4,5.1
E09000025,Newham,"43,800","83,000",52.8,5.5,"42,400","83,900",50.5,5.4,"41,300","85,400",48.3,5.2,"42,700","87,700",48.7,5.4,"43,700","90,100",48.5,5.2,"41,100","93,100",44.2,5.1,"50,100","100,000",50.1,5.2,"49,600","101,900",48.7,5.2,"46,300","104,100",44.5,5.2,"43,300","105,400",41.1,5.1,"46,700","106,400",43.8,5.4,"40,900","109,300",37.4,5.2,"40,000","110,500",36.2,5.4,"44,300","109,600",40.4,6.2,"42,600","111,200",38.3,6.6,36700,115200,31.9,6.6
E09000026,Redbridge,"24,400","80,200",30.4,5.3,"33,400","82,600",40.4,5.8,"30,700","83,400",36.8,5.9,"34,300","85,500",40.2,5.8,"34,100","88,200",38.7,5.3,"32,600","89,500",36.4,5.5,"37,000","91,400",40.5,5.0,"38,200","90,600",42.2,5.3,"33,300","92,500",36.0,5.1,"31,900","95,900",33.3,5.2,"32,200","95,400",33.8,5.3,"33,400","96,200",34.8,5.2,"32,800","96,400",34.1,5.2,"33,400","96,900",34.5,5.3,"38,500","100,700",38.3,5.4,39700,99100,40,5.9
E09000027,Richmond upon Thames,"19,500","60,300",32.4,5.7,"15,500","61,000",25.4,4.8,"17,000","62,500",27.3,4.8,"17,700","62,400",28.3,5.0,"18,600","62,900",29.6,5.3,"18,100","61,400",29.4,5.6,"16,700","61,500",27.2,5.3,"15,300","64,300",23.8,5.2,"16,200","65,600",24.6,5.1,"17,600","64,300",27.3,5.0,"15,800","63,700",24.8,5.0,"11,700","62,300",18.7,4.7,"10,600","64,700",16.4,4.9,"18,500","65,500",28.3,5.7,"15,000","62,700",24.0,5.8,14300,63700,22.5,5.8
E09000028,Southwark,"26,900","88,700",30.4,5.4,"38,900","92,600",42.0,5.6,"37,900","94,500",40.1,5.5,"36,700","98,200",37.4,5.3,"36,300","99,500",36.5,5.2,"34,800","100,500",34.6,5.7,"29,600","103,700",28.5,5.6,"36,900","106,400",34.6,5.3,"33,400","106,900",31.3,5.0,"38,000","109,100",34.8,5.0,"28,200","109,500",25.8,4.4,"27,400","111,600",24.5,4.8,"23,700","112,100",21.1,4.9,"23,800","115,000",20.7,4.8,"24,200","115,800",20.9,4.8,24000,115700,20.8,5.1
E09000029,Sutton,"16,200","60,800",26.7,5.1,"14,500","61,000",23.7,5.1,"14,700","59,600",24.7,5.5,"15,500","59,700",26.0,5.6,"16,200","62,100",26.0,5.6,"16,200","62,400",25.9,5.4,"16,800","62,800",26.7,5.0,"18,600","63,000",29.5,5.6,"17,700","63,900",27.6,5.6,"14,200","63,700",22.3,5.6,"16,700","65,600",25.4,6.1,"15,300","66,600",22.9,5.8,"15,100","65,800",23.0,5.4,"13,900","66,500",20.8,5.3,"14,300","65,500",21.9,5.3,13500,67700,19.9,4.7
